"status_published","num_comments","num_shares","num_likes","num_loves","num_wows","num_hahas","num_sads","num_angrys","pos_emo_int","neg_emo_int","status_typelink","status_typephoto","status_typestatus","status_typevideo","mon","tues","wed","thurs","fri","sat","sun","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec"
2018-04-22 06:00:00,0.0243925678894712,0.076518691588785,0.100115874855156,0.140030441400304,0.0107913669064748,0.00636942675159236,0.0196078431372549,0,0.0224107718187351,0.00320148068481673,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2018-04-21 22:45:00,0,0,0.0347624565469293,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2018-04-21 06:17:00,0.0112434492615531,0.0166471962616822,0.0472769409038239,0.0319634703196347,0.00359712230215827,0.00636942675159236,0,0,0.00443557663248015,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2018-04-21 02:29:00,0,0,0.0257242178447277,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2018-04-18 03:22:00,0,0,0.0472769409038239,0.0136986301369863,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2018-04-18 02:14:00,0.00028585040495474,0,0.0488991888760139,0.0076103500761035,0.00359712230215827,0,0,0,0.000108258141538499,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2018-04-18 00:24:00,0.0292520247737018,0.0210280373831776,0.0968713789107764,0.106544901065449,0.0359712230215827,0.0127388535031847,0,0.0967741935483871,0.0250290150196477,0.0115178269949852,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2018-04-17 07:42:00,0.0215817055740829,0.0154789719626168,0.0602549246813441,0.0487062404870624,0.00359712230215827,0.00636942675159236,0,0.032258064516129,0.0110493471683229,0.0028325600590273,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2018-04-17 03:33:00,4.76417341591234e-05,0,0.0458864426419467,0.0076103500761035,0,0,0,0,1.69571008737e-05,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2018-04-11 04:53:00,0.000428775607432111,0.000292056074766355,0.038702201622248,0.0045662100456621,0,0,0,0,0.000127804750427394,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2018-04-10 01:01:00,9.52834683182468e-05,0.000876168224299065,0.0468134414831981,0.0106544901065449,0.00359712230215827,0,0,0,3.49165919468306e-05,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2018-04-09 02:06:00,0.000190566936636494,0,0.0493626882966396,0.0076103500761035,0.0143884892086331,0,0,0,7.28403544919527e-05,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2018-04-08 05:10:00,0.000190566936636494,0.00058411214953271,0.0706836616454229,0.0091324200913242,0.00719424460431655,0,0,0,0.0001039144506743,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
